Model,TumourType,Treatment,Treatment target,Treatment type,BestResponse,Day_BestResponse,BestAvgResponse,Day_BestAvgResponse,TimeToDouble,Day_Last,ResponseCategory
X-4145,CRC,untreated,"UNKNOWN,Untreated",single,344.0,21,106.4,14,6.0,25,PD
X-4157,CM,untreated,"UNKNOWN,Untreated",single,239.7,20,52.9,14,11.2,28,PD
X-4215,PDAC,untreated,"UNKNOWN,Untreated",single,167.2,21,61.1,12,7.6,36,PD
X-4226,PDAC,untreated,"UNKNOWN,Untreated",single,83.7,24,28.5,13,19.0,40,PD
X-4316,PDAC,untreated,"UNKNOWN,Untreated",single,132.8,20,12.8,11,15.2,44,PD
X-4339,CM,untreated,"UNKNOWN,Untreated",single,89.3,20,39.5,16,20.8,45,PD
X-4347,BRCA,untreated,"UNKNOWN,Untreated",single,165.8,17,54.4,13,11.1,17,PD
X-4378,PDAC,untreated,"UNKNOWN,Untreated",single,87.3,21,25.3,12,26.4,63,PD
X-4426,CM,untreated,"UNKNOWN,Untreated",single,757.9,18,183.0,12,3.7,18,PD
X-4439,PDAC,untreated,"UNKNOWN,Untreated",single,120.4,23,31.7,13,17.7,51,PD
X-4455,CM,untreated,"UNKNOWN,Untreated",single,740.4,21,101.4,11,5.4,21,PD
X-4530,CM,untreated,"UNKNOWN,Untreated",single,233.7,22,41.3,11,12.4,33,PD
X-4538,CM,untreated,"UNKNOWN,Untreated",single,627.8,20,111.0,13,6.2,25,PD
X-4567,BRCA,untreated,"UNKNOWN,Untreated",single,325.6,20,94.6,14,7.8,27,PD
X-4644,CM,untreated,"UNKNOWN,Untreated",single,616.0,20,166.8,13,5.1,20,PD
X-4649,PDAC,untreated,"UNKNOWN,Untreated",single,74.7,22,23.4,11,24.4,60,PD
X-4668,CM,untreated,"UNKNOWN,Untreated",single,513.8,20,132.2,14,7.3,20,PD
X-4676,PDAC,untreated,"UNKNOWN,Untreated",single,267.0,20,70.8,13,6.9,29,PD
X-4819,NSCLC,untreated,"UNKNOWN,Untreated",single,253.4,5,123.8,5,3.0,5,PD
X-4824,BRCA,untreated,"UNKNOWN,Untreated",single,199.0,21,39.3,11,12.9,34,PD
X-4832,CM,untreated,"UNKNOWN,Untreated",single,498.4,14,289.5,14,6.0,14,PD
X-4849,CM,untreated,"UNKNOWN,Untreated",single,359.7,21,134.1,11,3.0,24,PD
X-4888,BRCA,untreated,"UNKNOWN,Untreated",single,93.4,21,31.3,11,22.0,56,PD
X-4927,PDAC,untreated,"UNKNOWN,Untreated",single,501.8,19,128.4,11,5.3,19,PD
X-4949,BRCA,untreated,"UNKNOWN,Untreated",single,615.5,20,154.8,14,4.6,20,PD
X-5189,CM,untreated,"UNKNOWN,Untreated",single,495.8,21,132.4,11,4.0,21,PD
X-5205,PDAC,untreated,"UNKNOWN,Untreated",single,268.6,20,75.7,13,7.5,30,PD
X-5249,BRCA,untreated,"UNKNOWN,Untreated",single,116.8,20,60.5,14,9.3,63,PD
X-5254,CRC,untreated,"UNKNOWN,Untreated",single,247.9,21,40.8,11,12.1,28,PD
X-5355,BRCA,untreated,"UNKNOWN,Untreated",single,118.3,21,32.4,11,14.7,56,PD
X-5405,CRC,untreated,"UNKNOWN,Untreated",single,280.2,21,63.1,14,9.0,28,PD
X-5438,CRC,untreated,"UNKNOWN,Untreated",single,1.7,15,-1.7,13,92.0,92,SD-->PD
X-5446,CRC,untreated,"UNKNOWN,Untreated",single,163.1,20,45.1,13,12.4,63,PD
X-5494,CRC,untreated,"UNKNOWN,Untreated",single,116.9,20,45.4,11,10.8,36,PD
X-5495,CRC,untreated,"UNKNOWN,Untreated",single,194.6,23,72.8,11,8.9,29,PD
X-5502,BRCA,untreated,"UNKNOWN,Untreated",single,4.6,11,2.5,11,48.7,88,SD-->PD
X-5578,CRC,untreated,"UNKNOWN,Untreated",single,283.4,21,57.3,14,9.9,33,PD
X-5975,BRCA,untreated,"UNKNOWN,Untreated",single,264.8,20,99.2,13,5.0,27,PD
X-6047,BRCA,untreated,"UNKNOWN,Untreated",single,405.4,14,126.3,11,4.7,14,PD
